City,Month,Domestic Price,Domestic Change,Commercial Price,Commercial Change,Distance_to_Port_km,Nearest_Port
Port Blair,April 2026,₹ 989.0,—,₹ 2496.5,▲ ₹219,1250.13,"Haldia Port, West Bengal"
Port Blair,March 2026,₹ 989.0,▲ ₹60,₹ 2277.5,▲ ₹144,1250.13,"Haldia Port, West Bengal"
Port Blair,Febraury 2026,₹ 929.0,—,₹ 2133.5,▲ ₹49.5,1250.13,"Haldia Port, West Bengal"
Raipur,April 2026,₹ 984.0,—,₹ 2299.5,▲ ₹214,670.75,"Haldia Port, West Bengal"
Raipur,March 2026,₹ 984.0,▲ ₹60,₹ 2085.5,▲ ₹144,670.75,"Haldia Port, West Bengal"
Raipur,Febraury 2026,₹ 924.0,—,₹ 1941.5,▲ ₹49.5,670.75,"Haldia Port, West Bengal"
Ranchi,April 2026,₹ 970.5,—,₹ 2258.0,▲ ₹220,317.85,"Haldia Port, West Bengal"
Ranchi,March 2026,₹ 970.5,▲ ₹60,₹ 2038.0,▲ ₹144,317.85,"Haldia Port, West Bengal"
Ranchi,Febraury 2026,₹ 910.5,—,₹ 1894.0,▲ ₹49.5,317.85,"Haldia Port, West Bengal"
Shillong,April 2026,₹ 980.0,—,₹ 2331.0,▲ ₹220,553.56,"Haldia Port, West Bengal"
Shillong,March 2026,₹ 980.0,▲ ₹60,₹ 2111.0,▲ ₹144,553.56,"Haldia Port, West Bengal"
Shillong,Febraury 2026,₹ 920.0,—,₹ 1967.0,▲ ₹49.5,553.56,"Haldia Port, West Bengal"
Shimla,April 2026,₹ 958.5,—,₹ 2191.5,▲ ₹195,1130.43,"Kandla Port, Gujarat"
Shimla,March 2026,₹ 958.5,▲ ₹60,₹ 1996.5,▲ ₹144,1130.43,"Kandla Port, Gujarat"
Shimla,Febraury 2026,₹ 898.5,—,₹ 1852.5,▲ ₹49.5,1130.43,"Kandla Port, Gujarat"
Silvassa,April 2026,₹ 927.5,—,₹ 2062.0,▲ ₹194,171.5,"Pipavav Port, Gujarat"
Silvassa,March 2026,₹ 927.5,▲ ₹60,₹ 1868.0,▲ ₹144,171.5,"Pipavav Port, Gujarat"
Silvassa,Febraury 2026,₹ 867.5,—,₹ 1724.0,▲ ₹49.5,171.5,"Pipavav Port, Gujarat"
Srinagar,April 2026,₹ 1029.0,—,₹ 2385.0,▲ ₹195,1305.59,"Kandla Port, Gujarat"
Srinagar,March 2026,₹ 1029.0,▲ ₹60,₹ 2190.0,▲ ₹144,1305.59,"Kandla Port, Gujarat"
Srinagar,Febraury 2026,₹ 969.0,—,₹ 2046.0,▲ ₹49.5,1305.59,"Kandla Port, Gujarat"
Thiruvananthapuram,April 2026,₹ 922.0,—,₹ 2112.0,▲ ₹200,544.33,"Mangalore Port, Karnataka"
Thiruvananthapuram,March 2026,₹ 922.0,▲ ₹60,₹ 1912.0,▲ ₹144,544.33,"Mangalore Port, Karnataka"
Thiruvananthapuram,Febraury 2026,₹ 862.0,—,₹ 1768.0,▲ ₹49.5,544.33,"Mangalore Port, Karnataka"
